[14-Apr-2016 11:06:13 PRC] PHP Notice:  Undefined variable: class in F:\wamp\www\yrphp\yrPHP\base.php on line 100
[14-Apr-2016 11:06:13 PRC] PHP Fatal error:  Call to a member function index() on a non-object in F:\wamp\www\yrphp\yrPHP\base.php on line 100
[14-Apr-2016 11:06:54 PRC] PHP Notice:  Undefined variable: class in F:\wamp\www\yrphp\yrPHP\base.php on line 100
[14-Apr-2016 11:06:54 PRC] PHP Fatal error:  Call to a member function index() on a non-object in F:\wamp\www\yrphp\yrPHP\base.php on line 100
[14-Apr-2016 11:07:26 PRC] PHP Notice:  Undefined variable: class in F:\wamp\www\yrphp\yrPHP\base.php on line 99
[14-Apr-2016 11:07:26 PRC] PHP Notice:  Undefined variable: class in F:\wamp\www\yrphp\yrPHP\base.php on line 100
[14-Apr-2016 11:07:26 PRC] PHP Fatal error:  Call to a member function index() on a non-object in F:\wamp\www\yrphp\yrPHP\base.php on line 100
[14-Apr-2016 11:41:09 PRC] PHP Notice:  Undefined offset: 0 in F:\wamp\www\yrphp\yrPHP\core\Model.class.php on line 206
[14-Apr-2016 14:29:50 PRC] PHP Fatal error:  Call to a member function rowCount() on a non-object in F:\wamp\www\yrphp\application\controls\Index.class.php on line 22
[14-Apr-2016 14:30:55 PRC] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in F:\wamp\www\yrphp\application\controls\Index.class.php on line 23
[14-Apr-2016 15:11:58 PRC] PHP Fatal error:  Call to undefined method core\pdo_driver::count() in F:\wamp\www\yrphp\application\controls\Index.class.php on line 22
[14-Apr-2016 15:36:39 PRC] PHP Notice:  Trying to get property of non-object in F:\wamp\www\yrphp\yrPHP\core\Model.class.php on line 809
[14-Apr-2016 15:55:35 PRC] PHP Notice:  Trying to get property of non-object in F:\wamp\www\yrphp\yrPHP\core\Model.class.php on line 184
[14-Apr-2016 15:58:31 PRC] PHP Notice:  Trying to get property of non-object in F:\wamp\www\yrphp\yrPHP\core\Model.class.php on line 185
[14-Apr-2016 17:33:12 PRC] PHP Warning:  array_flip() expects exactly 1 parameter, 2 given in F:\wamp\www\yrphp\application\controls\Index.class.php on line 32
[14-Apr-2016 17:34:32 PRC] PHP Warning:  array_map() expects parameter 1 to be a valid callback, array must have exactly two members in F:\wamp\www\yrphp\application\controls\Index.class.php on line 32
